Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path
"179.85907101167317,117.60008815661479","180.56975012159532,116.29537785749028","181.4892844114786,116.8387113934825","143.13870987354085,76.02405307636187","183.69049428501947,119.97583292801556","142.66737597276264,86.45528331712062","146.64906067607004,87.32778301313229","148.5317515807393,97.8502401507782","143.0992369892996,94.80220239542801","135.82683304961088,99.08426556420234","143.52535262645915,100.59391719357977","142.43433852140078,104.49971121108949","141.7719023589494,103.81810098492218","136.14336089494162,121.54003526264592","145.12200571498056,121.0521035992218","124.58456955252919,125.59769424854086","134.35910141050584,125.88672634970817",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\23.jpg
"176.76782891536965,117.27252553501945","177.16077942607004,115.06471911478599","180.032359557393,116.876109557393","152.303532344358,97.077015442607","183.33165126459144,120.12575237110894","138.16460967898834,90.93423972519456","141.60584873540856,83.67781797178988","135.7076392266537,94.60014135457199","168.46046631809338,152.02615819552528","92.79885092412451,130.24539457684824","169.70669686284046,136.24474100194553","156.83718385214007,171.22177468385215","156.36799306906616,168.2223370622568","132.4948777966926,124.41319613326849","157.0325723492218,175.04239117217898","95.15425887645914,137.00352626459144","121.82285080252919,138.81750060797665",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\29.jpg
"167.52839250972764,117.24032557149806","170.54169199902725,112.03283073929961","173.2728903210117,112.44262980301556","143.392312135214,73.13445403696498","183.43663363326849,121.26184034533074","136.17249817607004,92.09729906371595","144.4437773589494,81.37354085603113","135.58950936284046,94.56921054231518","153.5604936770428,149.48081833657588","144.42084143968873,130.6286934581712","168.6233888618677,131.37142813715954","138.5240910749027,172.64219053988327","155.98283985894943,170.61703550583658","124.42167740758755,223.3724616974708","129.1648832684825,223.5370865758755","92.09237445282102,149.37551678015564","125.65649319066148,142.1783651507782",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\35.jpg
"181.59469236381324,114.8748404061284","187.7544078307393,114.98844844357977","188.77786053015564,113.40706316877431","183.58288241731518,114.55939931906615","183.35954219357976,113.99737810068093","170.28199477140078,120.82988813229572","177.54369832198444,124.74316026264592","153.70800401264592,148.4589007782101","162.9695707684825,150.23209508754863","172.88066938229574,134.01685615272373","175.13887706712063,134.49072835603113","140.58619589007782,172.55034046692606","154.5737171692607,171.46757964494162","125.74343385214009,224.2088247811284","159.5878374270428,179.2888801070039","96.56107125486382,149.63126215953307","122.59865181177042,143.83888618677042",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\47.jpg
"183.1638497081712,115.78535384241245","184.78577942607004,113.78501185554475","188.0775170233463,114.46750364785993","184.17734678988327,112.31417953550584","190.13383086089493,114.65547482976653","172.23081833657588,121.25661174610894","188.45669686284046,127.63899866245136","137.36182210603113,94.81277358949417","160.63948504377433,146.68461211089493","144.34470756322958,134.26316269455253","172.68099464980546,128.7826787451362","139.80354754377433,168.0054109922179","152.32561709630352,166.8772495136187","126.29074963521401,174.96181906614785","144.83624148832686,176.04445829280155","101.19911995379377,146.87395124027236","141.79302954766538,135.37677833171207",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\41.jpg
"69.22742126702335,116.83359678988327","66.61471759484436,114.98736928501945","71.1999027237354,112.86051495622569","67.20744923394942,117.56408833900778","75.52728295233463,114.46703246595331","71.8958535992218,133.82788180933852","117.41419929474708,98.89243373054475","100.08270002431907,148.99840406128405","105.29216318093385,149.9214798151751","76.88066938229572,128.15618920233464","81.97319582928016,128.37192971789884","68.20966074902724,175.52968446011673","99.58634788424125,173.88939384727627","94.71868920233463,222.57066208657588","98.64382447714009,222.15816512645915","98.67596364299611,227.79385031614785","157.82359557392996,147.47966318093384",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\35.jpg
"72.17613083657588,117.22117430690662","70.07283560311284,115.94856517509727","73.31222641050584,113.8386049975681","69.5600984922179,118.54754377431907","75.13780550826849,113.7903316512646","66.52617339494164,128.74612414883268","84.32455313715954,124.32090527723736","78.86890503404669,154.50987962062257","105.05063685554475,149.9433061770428","77.26732733463035,127.08161326605058","81.80310676070039,126.45429535505836","74.79584903939688,173.9975680933852","99.91564323929961,170.70981274319067","94.18401173394942,221.1899775048638","113.11694430933852,224.82241001945525","159.24291707198444,143.86186770428014","159.11852504863813,142.92310615272373",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\29.jpg
"112.90669078307393,91.86421601410505","112.45014591439688,87.05451270671206","79.48762767509727,112.47148589494164","108.20398376702335,88.72440418287938","111.34479116001945,79.22221546692607","109.44769880836576,80.76632417315176","115.3560995257782,94.36447440418289","113.3118692242218,97.22052833171206","106.13703033803502,148.5641111381323","82.319202942607,124.32839858949417","114.47854602383269,100.41592442850195","112.93070586089495,103.7942379012646","98.15913028939688,175.0851471303502","95.292391172179,222.3492369892996","128.4077547422179,225.545187864786","159.3744528210117,144.7239178015564","164.1661752188716,144.8833140807393",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\23.jpg
"114.9421434216926,90.5338870987354","113.79108402237354,86.77582380836576","118.38870987354086,85.95105787937743","109.37471121108949,89.24261308365759","122.44530490029183,88.45605848735408","104.69253100680935,104.26543500729572","130.7346941877432,109.04569704523347","101.20929596303502,146.02479024805447","102.17079584143968,148.52711575875486","74.96906158803502,127.20738843628405","128.39103538424123,128.47780885214007","120.38846668287938,152.23005836575877","128.92850194552528,149.6896887159533","107.5924808487354,124.53405429231518","130.11838825389106,120.14850589737354","128.59943458171207,143.77392388132296","154.40583961575877,148.284001094358",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\41.jpg
"68.36942941391051,118.92999148832685","66.75362506079766,116.31733341439688","70.78625820768482,114.4615454766537","113.30129803015565,91.18112384484436","121.49550097276264,87.73565175097276","109.74029517266537,105.71305781857977","129.00015199416342,107.41895671206225","93.86901902966926,148.6926678015564","98.03860651750973,146.26846729085602","81.6374331225681,121.94306298638132","130.8002340710117,132.6939445525292","62.363467442850194,171.89676556420233","129.9924002918288,150.91502006322958","82.93954432149806,222.05974890564204","134.31069126945525,139.46461575875486","154.47805204280155,148.00037998540856","156.04842534046693,147.97441938229574",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\47.jpg
