,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
0,"68.5595437135214,165.25539579280155","63.28665339250973,165.49936162451363","57.50931344236381,154.95976714494162","58.19851957684825,160.26255471789884","59.2826217473249,152.1454280155642","54.61544336697471,189.1517965710117","64.95949355544747,135.84835542315176","86.96501854328794,63.729556785019454","85.78585542315176,62.36743829036965","118.92575085116732,96.27455465710116","119.06884575632296,92.85181329036965","125.09606791099222,221.85083292801556","117.5492765077821,181.35592473249028","56.10163089737354,207.52588460603113","52.815513284289885,222.018376094358","51.89253632660506,204.9242765077821","50.29651021400778,189.5319035749027",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\0_40.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,0
1,"67.98480058365759,166.67534046692606","63.838088217412455,166.35572714007782","57.03371610530156,156.12826787451363","57.31527389348249,160.32458353599222","60.061797026994164,153.2046601410506","53.24435721668288,188.69020549610894","65.23781766780155,137.07677225194553","86.49768968871595,63.06104085603113","85.70768482490273,62.12840086940662","115.77314871108949,94.1333140807393","117.9146704766537,93.44387615515565","125.72714007782102,219.9549945282101","116.43310736867704,180.28036843385215","37.61883283681907,225.79354632782102","51.296339220573934,223.47847762645915","134.21453976167317,190.90552042801556","140.9589311770428,226.70963035019454",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\1_46.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,1
9,"66.43506809338521,165.54789336089493","61.43631444552529,165.33771583171207","55.650231031128406,155.58811101653697","57.03292193579767,160.66831833657588","59.96336940661479,152.79392631322958","54.42124802407588,189.50981882295721","65.94778240515565,136.31813898346303","87.88311648832685,64.838734192607","81.67240697957199,69.95269181663424","113.85281645184826,93.31072166828794","116.8202061040856,92.7739922786965","124.33690266293775,221.1159715466926","115.38118616245136,180.60011855544747","37.134142448929964,225.35072653210116","51.44841698078794,222.98770367217898","133.91100741731518,189.85712548638134","140.4646309581712,226.93870075389106",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\2_52.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,2
3,"66.25604936770428,164.6099829766537","60.435546875,164.83508633268482","55.1362171692607,155.09168287937743","56.546217625243195,161.0559490515564","59.537314567120625,152.68272738326849","53.54071163667315,191.8947440418288","66.2804824294747,135.92926191634243","86.3704857733463,64.72916919990273","82.77436466439688,67.90453246595331","115.69965193336576,96.8365986746109","117.67967230058366,92.06226440904669","123.9523878283074,219.8307089007782","116.0494589007782,168.6688655155642","36.96644728842413,224.95756322957197","49.72094631566148,222.732110286965","50.516639561040854,205.28722337062257","50.60257326118677,205.18102504863813",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\3_58.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,3
2,"66.57782861138132,163.58072410019454","60.03834052772373,165.73934520914398","55.71604450389105,154.62118494649806","55.556374635214006,161.17701240272373","59.1445578489786,149.8639348249027","52.5752751094358,191.26855848735408","66.87129134241245,136.46189506322958","80.59124969601167,218.1966804474708","82.54259636429961,70.21884879620623","50.46358979815175,195.5446862840467","187.86402602140078,101.21838521400778","124.65328611381324,218.8417740758755","116.78567303015565,180.63538120136187","207.90989785992218,203.98758207684824","36.15693017388132,224.88003100680933","50.84051632417315,205.64605119163426","51.39741913910506,205.23747568093387",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\4_64.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,4
4,"188.63145975194553,160.99385943579767","201.50635335603113,159.0031918774319","195.26691695038912,168.02441026264592","195.48866123540856,155.40632599708172","196.970437135214,162.16153939688715","178.45244102626458,130.69508450875486","147.37279608463035,132.5716804474708","172.0878070282101,217.14368008268482","171.01428745136187,218.1498054474708","135.24059156128405,98.20729723978599","137.9342017266537,97.66056663424125","128.16359131809338,218.92634362840468","157.40032222762648,218.18075145914398","171.3847428258755,216.05585785505838","171.15096060311285,215.8657891536965","157.22338582198444,221.8672938959144","156.87665673638134,221.26872568093387",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\0_40.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,0
5,"189.33481274319067,160.89877188715954","199.26194674124514,155.65161417801556","194.4369984192607,160.45429535505838","195.56695342898834,154.86793227140078","197.64032101167317,161.37455921692606","178.00825328307394,130.8731760700389","180.10224647373542,165.08867339494162","172.67926191634243,216.8911265807393","169.23665491245137,216.0002887889105","136.196954036965,97.5282937135214","137.38162694552528,97.0305356274319","127.39406766780156,217.31502310311285","157.63507721303503,217.6986107733463","167.17100863326849,216.35721668287937","170.47583292801556,215.77682696984436","193.06488630836577,214.80072045233464","192.5267357733463,215.03632660505838",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\1_46.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,1
7,"189.646172786965,159.46118069066148","201.04100802529183,156.888405885214","194.59008694066148,158.8693002188716","195.2383876459144,154.71216865272373","200.50387585116732,163.4756353356031","177.64489603599222,132.2864178015564","145.1700054717899,133.2318366974708","172.10042254377433,217.45461454280155","169.6051495622568,216.5487445282101","136.79068883754863,98.79609982976653","138.53517144941634,98.51977444066148","126.89560280885215,217.74616974708172","156.74613934824902,217.99392023346303","167.1752340710117,216.2409715466926","171.4878860651751,215.99551617217898","192.63214372568095,214.83206164883268","192.23998358463035,215.1609770184825",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\2_52.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,2
6,"190.18561527237355,159.48676130836577","200.85653270914398,156.93353295233464","194.81506870136187,158.58733584630352","194.7214402966926,154.51615697957197","199.97192667801556,163.26044199902725","184.21718446011673,139.70722884241246","132.48872203307394,131.76944005350194","172.4864573200389,217.98625972762648","169.44433973735408,216.48220148346303","137.08397677529183,99.85590193336576","138.8965679717899,99.75700693093385","120.5110879742218,156.33190965466926","122.24195190904669,186.67532526750972","167.68605605544747,216.66705678501947","170.50796449416342,216.11644272859922","193.02147677529183,214.42758998054475","192.36315965466926,214.6247872081712",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\3_58.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,3
8,"189.948063594358,159.573109192607","201.55797057392996,157.57330678501947","194.44658925097278,158.8939840710117","194.54827334630352,155.2649714250973","198.013360286965,161.79290795233464","181.95777602140078,132.86936101653697","179.51127796692606,137.62773589494162","172.29234557392996,216.95508572470817","170.14653757295721,216.11978660019454","137.42584204766538,98.11030216439688","198.68537208171207,193.92562925583658","118.99053076361868,154.39187135214007","121.76819370136187,184.87712791828795","171.631125364786,215.55581225680933","171.81947653210116,215.60484557392996","193.65517084143968,214.64583839980546","192.9430173881323,214.77389348249028",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\4_64.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,4
