,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
498,"180.88430204280155,117.5775702213035","179.9688563959144,117.64987384484436","183.2170932636187,116.30535627431907","174.8562287208171,116.91238296449417","143.31642144941634,79.25430143482491","137.86051495622567,90.72898680690662","142.98946680447472,86.40384089250973","136.32207563229574,94.5931192242218","143.6848097033074,95.92965710116732","136.11457320038912,97.08891658560312","174.09964737354085,137.48124392023345","134.36171571011673,104.58687226410505","140.48758207684824,102.05555386673151","126.90834751945525,221.0572714007782","132.9448109192607,221.01747932879377","127.28333991974708,127.18423972519456","130.17421571011673,127.18762919503891",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\0_20.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,0
501,"179.85907101167317,117.60008815661479","180.56975012159532,116.29537785749028","181.4892844114786,116.8387113934825","143.13870987354085,76.02405307636187","183.69049428501947,119.97583292801556","142.66737597276264,86.45528331712062","146.64906067607004,87.32778301313229","148.5317515807393,97.8502401507782","143.0992369892996,94.80220239542801","135.82683304961088,99.08426556420234","143.52535262645915,100.59391719357977","142.43433852140078,104.49971121108949","141.7719023589494,103.81810098492218","136.14336089494162,121.54003526264592","145.12200571498056,121.0521035992218","124.58456955252919,125.59769424854086","134.35910141050584,125.88672634970817",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\1_23.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,1
508,"177.54337913424123,117.4185767266537","179.40207016050584,116.04374392023347","181.00376945525292,115.14739633998055","173.17465649319067,114.9027921327821","184.6466439688716,120.09628830252919","145.07040369649806,86.98686010457199","144.59768664883268,81.893421692607","135.74697531614785,94.40906949173151","152.57880897373542,92.67292375972762","160.0822440418288,105.92188259970817","161.68503769455253,107.11760548394942","142.31105605544747,102.4388983463035","141.9978112840467,101.4700191512646","130.49256748540856,122.97864482003891","130.24937682392996,105.04208718385215","93.96502614299611,139.91815114299612","135.80638983463035,126.23111472519456",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\2_26.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,2
502,"176.76782891536965,117.27252553501945","177.16077942607004,115.06471911478599","180.032359557393,116.876109557393","152.303532344358,97.077015442607","183.33165126459144,120.12575237110894","138.16460967898834,90.93423972519456","141.60584873540856,83.67781797178988","135.7076392266537,94.60014135457199","168.46046631809338,152.02615819552528","92.79885092412451,130.24539457684824","169.70669686284046,136.24474100194553","156.83718385214007,171.22177468385215","156.36799306906616,168.2223370622568","132.4948777966926,124.41319613326849","157.0325723492218,175.04239117217898","95.15425887645914,137.00352626459144","121.82285080252919,138.81750060797665",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\3_29.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,3
503,"176.58856699902725,117.33503313472762","176.70821680447472,115.80458870379377","179.28474586575877,117.2468613205253","145.0096820282101,74.05952851410505","183.6593354815175,120.50758450875486","143.28287633754863,80.07716743677042","142.12495440175098,79.90403088521401","135.5109587791829,94.3911797786965","157.32019090466926,149.45446254863813","89.37061496838521,129.5452638618677","169.9316178258755,135.1697926799611","142.42062864785993,170.19747081712063","155.72008754863813,169.44660445038912","132.38744832198444,122.79774896643968","157.66626641536965,176.53868251459144","99.85499756809338,149.67293895914398","124.16647160749028,141.26693214980546",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\4_32.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,4
505,"167.52839250972764,117.24032557149806","170.54169199902725,112.03283073929961","173.2728903210117,112.44262980301556","143.392312135214,73.13445403696498","183.43663363326849,121.26184034533074","136.17249817607004,92.09729906371595","144.4437773589494,81.37354085603113","135.58950936284046,94.56921054231518","153.5604936770428,149.48081833657588","144.42084143968873,130.6286934581712","168.6233888618677,131.37142813715954","138.5240910749027,172.64219053988327","155.98283985894943,170.61703550583658","124.42167740758755,223.3724616974708","129.1648832684825,223.5370865758755","92.09237445282102,149.37551678015564","125.65649319066148,142.1783651507782",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\5_35.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,5
504,"180.98797726167317,109.29796935797665","183.6402298151751,113.24319066147861","185.28351471303503,113.609375","176.67540126459144,110.1590238934825","187.30412512159532,117.29808335359922","147.85290004863813,88.78042923151752","149.864968385214,91.00593537208171","154.44535809824902,146.42164700875486","152.74635214007782,144.90773954280155","91.92575845087549,127.96841561284047","164.15302772373542,108.58111928501945","131.43193701361866,169.4622598492218","156.96794443093384,169.10560554474708","128.35542315175098,223.46189506322958","161.7489968385214,222.44967473249028","99.79046844601167,147.69347337062257","140.7319430933852,134.08975255350194",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\6_38.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,6
507,"183.1638497081712,115.78535384241245","184.78577942607004,113.78501185554475","188.0775170233463,114.46750364785993","184.17734678988327,112.31417953550584","190.13383086089493,114.65547482976653","172.23081833657588,121.25661174610894","188.45669686284046,127.63899866245136","137.36182210603113,94.81277358949417","160.63948504377433,146.68461211089493","144.34470756322958,134.26316269455253","172.68099464980546,128.7826787451362","139.80354754377433,168.0054109922179","152.32561709630352,166.8772495136187","126.29074963521401,174.96181906614785","144.83624148832686,176.04445829280155","101.19911995379377,146.87395124027236","141.79302954766538,135.37677833171207",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\7_41.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,7
506,"174.6282526750973,104.03380350194553","153.48834204766538,91.20063989542801","175.03564263132296,103.46648528696498","138.8819917315175,92.0360530155642","174.57313959143968,102.42938351167315","133.38927225194553,100.90608280642023","135.78767935311285,100.4738722033074","108.12237810068093,133.95259302042803","161.89627918287937,146.0800249270428","90.41945069309338,131.53112840466926","173.82049489299612,124.7807256201362","133.81053927529183,159.67292375972764","151.6404426070039,166.30382113326849","123.82567789396887,174.71447896400778","145.19034229085602,226.3772951118677","101.73361502918289,149.81441512645915","125.98716409289884,174.0679413910506",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\8_44.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,8
509,"181.59469236381324,114.8748404061284","187.7544078307393,114.98844844357977","188.77786053015564,113.40706316877431","183.58288241731518,114.55939931906615","183.35954219357976,113.99737810068093","170.28199477140078,120.82988813229572","177.54369832198444,124.74316026264592","153.70800401264592,148.4589007782101","162.9695707684825,150.23209508754863","172.88066938229574,134.01685615272373","175.13887706712063,134.49072835603113","140.58619589007782,172.55034046692606","154.5737171692607,171.46757964494162","125.74343385214009,224.2088247811284","159.5878374270428,179.2888801070039","96.56107125486382,149.63126215953307","122.59865181177042,143.83888618677042",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped\9_47.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_flipped,9
511,"112.63754711819067,85.63668835116732","113.83427316391051,82.36273407101167","113.83070130107004,82.16208657587549","110.4009454036965,79.3523528696498","112.35255806177042,81.29304474708171","108.56297118190662,83.47410019455253","113.64624878404669,88.4381307757782","111.7538530520428,96.66811314445525","114.26535901021401,97.08672026994164","80.24041676799611,125.01027480544747","112.71374939202335,100.68537968142023","112.39747993677042,104.28918409533074","114.91838673394942,103.99422422178988","112.43286417801556,116.63404365272373","113.10992217898833,115.88617917071984","162.0795537451362,136.15609800583658","166.79140321011673,136.40172057392996",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\0_20.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,0
512,"112.90669078307393,91.86421601410505","112.45014591439688,87.05451270671206","79.48762767509727,112.47148589494164","108.20398376702335,88.72440418287938","111.34479116001945,79.22221546692607","109.44769880836576,80.76632417315176","115.3560995257782,94.36447440418289","113.3118692242218,97.22052833171206","106.13703033803502,148.5641111381323","82.319202942607,124.32839858949417","114.47854602383269,100.41592442850195","112.93070586089495,103.7942379012646","98.15913028939688,175.0851471303502","95.292391172179,222.3492369892996","128.4077547422179,225.545187864786","159.3744528210117,144.7239178015564","164.1661752188716,144.8833140807393",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\1_23.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,1
519,"71.68370774562257,117.07637706712062","69.3353295233463,115.48362262889106","75.19915795233463,114.17353173638132","65.98395701605058,118.22844722762646","75.9674808487354,114.39275291828794","109.60857703064202,81.14837670233463","116.50238630836576,94.60902541342412","119.23040035262646,145.39810311284046","104.7584736746109,147.3940296692607","80.35726988083658,126.5091348492218","107.57760821984436,125.92494528210116","66.45851319309338,178.3650747811284","96.81748540856032,176.15909229085602","96.2373844844358,221.39459204766538","112.9286311405642,124.69790400048639","160.06886855544747,141.69617886673151","161.3313776750973,141.21723005836577",ClamShells,..\Python\dataset\ClamShells\CLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original\2_26.jpg,datasetClamShellsCLAM EXERCISE EXPLAINED _ TrainLikeaBallerina.mkv_0_original,2
