,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
0,"69.76326149075875,164.67170780642024","64.10198808365759,165.3305569066148","58.02806572227627,155.45300340466926","57.61224388983463,161.39665916828795","58.988277450145915,152.77842290856032","53.22012934703307,189.5020823200389","64.3266202577821,136.33759423638134","86.92866913910505,63.14996504134241","86.36880623784047,62.20692485408561","118.77108159046693,96.62142813715954","119.6887691512646,92.54448869163424","125.66685159289884,221.70148346303503","117.8954280155642,181.68363934824902","84.92726319309338,219.7370652966926","38.87418683122568,224.7065296692607","51.832270640807394,204.92404851653697","51.95729343993191,204.29023285505838",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\0_37.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,0
9,"68.5595437135214,165.25539579280155","63.28665339250973,165.49936162451363","57.50931344236381,154.95976714494162","58.19851957684825,160.26255471789884","59.2826217473249,152.1454280155642","54.61544336697471,189.1517965710117","64.95949355544747,135.84835542315176","86.96501854328794,63.729556785019454","85.78585542315176,62.36743829036965","118.92575085116732,96.27455465710116","119.06884575632296,92.85181329036965","125.09606791099222,221.85083292801556","117.5492765077821,181.35592473249028","56.10163089737354,207.52588460603113","52.815513284289885,222.018376094358","51.89253632660506,204.9242765077821","50.29651021400778,189.5319035749027",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\1_40.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,1
15,"66.71282982733463,166.41591682879377","62.31493950632296,166.5941451848249","57.853363630836576,156.3672938959144","56.63425644455253,160.09063411964982","59.52096379499027,152.5927468385214","51.101566299854085,188.69569248540856","65.62599556177042,136.70701605058366","88.19832958414398,63.618437651994164","86.04679140321012,62.378883450875485","115.90449446741245,94.61403362110894","118.55286357003891,93.94924154912451","118.29855453550584,184.97607611867704","116.28818853356032,179.18762159533074","36.93005228599222,225.00513740272373","38.31464311770428,224.47747446498056","51.34290263253891,205.275124635214","49.28366670719844,189.034001094358",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\2_43.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,2
23,"67.98480058365759,166.67534046692606","63.838088217412455,166.35572714007782","57.03371610530156,156.12826787451363","57.31527389348249,160.32458353599222","60.061797026994164,153.2046601410506","53.24435721668288,188.69020549610894","65.23781766780155,137.07677225194553","86.49768968871595,63.06104085603113","85.70768482490273,62.12840086940662","115.77314871108949,94.1333140807393","117.9146704766537,93.44387615515565","125.72714007782102,219.9549945282101","116.43310736867704,180.28036843385215","37.61883283681907,225.79354632782102","51.296339220573934,223.47847762645915","134.21453976167317,190.90552042801556","140.9589311770428,226.70963035019454",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\3_46.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,3
1,"66.8542527966926,165.8585846303502","62.20819780520428,165.56658864299612","56.42027906128405,155.82928015564204","57.94215482125487,160.46833961575877","59.945586089494164,152.20193944552528","53.82320798881323,188.60592473249028","66.33867339494164,137.12150413424123","87.22178228356032,64.34192607003891","85.81229480787938,217.68104024805447","116.18170902237354,94.03248115272373","118.08913697714009,93.30417831955253","124.16520245622569,221.14085299124514","116.34589311770428,180.85609192607004","85.49822166828794,221.35504316634243","50.71575191512646,223.12937743190662","51.0606532709144,204.06198321984436","140.2167132782101,226.95876398346303",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\4_49.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,4
2,"66.43506809338521,165.54789336089493","61.43631444552529,165.33771583171207","55.650231031128406,155.58811101653697","57.03292193579767,160.66831833657588","59.96336940661479,152.79392631322958","54.42124802407588,189.50981882295721","65.94778240515565,136.31813898346303","87.88311648832685,64.838734192607","81.67240697957199,69.95269181663424","113.85281645184826,93.31072166828794","116.8202061040856,92.7739922786965","124.33690266293775,221.1159715466926","115.38118616245136,180.60011855544747","37.134142448929964,225.35072653210116","51.44841698078794,222.98770367217898","133.91100741731518,189.85712548638134","140.4646309581712,226.93870075389106",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\5_52.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,5
3,"65.76773011916343,164.53913849708172","60.479374392023345,164.64827030642024","55.463392205739304,155.0332259241245","56.51341728477627,160.77299671692606","60.21408377918288,153.19830678501947","53.99501459143969,191.06588946984436","67.07719783560312,135.99957441634243","87.06427833171206,64.70984314202335","82.45497932879377,68.54124361624514","114.2163484922179,94.26426465223736","117.88991822714009,93.53380350194553","124.36825145914398,220.16365211575877","115.80578185797665,180.99008998054475","36.99470300340467,225.07627067120623","50.54262296327821,223.04620622568095","133.84685068093384,190.51988083657588","49.57372476896887,188.9318002188716",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\6_55.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,6
4,"66.25604936770428,164.6099829766537","60.435546875,164.83508633268482","55.1362171692607,155.09168287937743","56.546217625243195,161.0559490515564","59.537314567120625,152.68272738326849","53.54071163667315,191.8947440418288","66.2804824294747,135.92926191634243","86.3704857733463,64.72916919990273","82.77436466439688,67.90453246595331","115.69965193336576,96.8365986746109","117.67967230058366,92.06226440904669","123.9523878283074,219.8307089007782","116.0494589007782,168.6688655155642","36.96644728842413,224.95756322957197","49.72094631566148,222.732110286965","50.516639561040854,205.28722337062257","50.60257326118677,205.18102504863813",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\7_58.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,7
5,"65.89010821984436,162.7988509241245","59.356422513375485,164.78831772859922","58.71751504742218,151.42002067120623","56.36711910262646,160.76807210603113","59.6983219844358,150.17392692120623","53.71369999392024,191.1075814688716","67.35115211575875,136.05091804474708","88.13194613326849,64.72074112354086","82.48423060554475,69.14137737110894","114.99603295233463,93.2193047786965","118.81009089250973,92.2491032344358","124.10188168774319,219.26912086575877","116.98860803745136,182.02348309824902","208.00693093385215,202.5874726410506","51.1278764895428,222.98937560797665","50.94938214372568,205.58116488326849","51.5820844479572,205.4483979815175",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\8_61.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,8
6,"66.57782861138132,163.58072410019454","60.03834052772373,165.73934520914398","55.71604450389105,154.62118494649806","55.556374635214006,161.17701240272373","59.1445578489786,149.8639348249027","52.5752751094358,191.26855848735408","66.87129134241245,136.46189506322958","80.59124969601167,218.1966804474708","82.54259636429961,70.21884879620623","50.46358979815175,195.5446862840467","187.86402602140078,101.21838521400778","124.65328611381324,218.8417740758755","116.78567303015565,180.63538120136187","207.90989785992218,203.98758207684824","36.15693017388132,224.88003100680933","50.84051632417315,205.64605119163426","51.39741913910506,205.23747568093387",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped\9_64.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_flipped,9
7,"188.4976744892996,159.83508633268482","201.0279973249027,157.76205313715954","193.36335724708172,159.58724464980546","191.27918287937743,146.6693974951362","196.2208931177043,161.61949781128405","179.29033925097278,130.8151902966926","168.98285505836577,134.73876763132296","171.97060432879377,217.18544807879377","169.37056177042803,216.3199173151751","135.57792740758754,96.81956772859922","137.85788545719845,96.1926222033074","128.0238630836576,219.39834630350194","157.58616549124514,218.4378191877432","168.3357247081712,215.8235651750973","171.0657982733463,215.6527389348249","158.01519941634243,221.59791464007782","157.68426252431908,221.03498905642024",ClamShells,..\Python\dataset\ClamShells\CHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original\0_37.jpg,datasetClamShellsCHA Rehab - Side-Lying Clamshells - Downloaded from clipmega.com (online-video-cutter.com).mp4_0_original,0
