,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
495,"185.5952547422179,102.37424002918289","179.9158560311284,98.4771172786965","181.63173334143968,97.54165400048639","174.62188411964982,101.18395093628405","182.76357307879377,100.68594205982491","170.2277784533074,122.74316026264592","177.50138314688715,122.88620956955253","161.79375911964982,162.1503374270428","176.48334143968873,161.8591926070039","154.89918227140078,187.41726957684824","157.96470695525292,197.25384545233464","169.89439445525292,177.2428410749027","175.4831134484436,177.33438715953307","176.14325449902725,189.6488630836576","174.26538180933852,189.63749392023345","168.11224768968873,219.7141293774319","171.30602504863813,220.15208535992218",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_flipped\0_38.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_flipped,0
497,"178.35615272373542,107.66225376945525","178.26477383268482,100.56272799124514","180.79438229571986,102.17927711575875","172.76618737840468,104.28896370379377","184.75249270428017,104.82821619649806","169.79991488326849,125.0873358463035","178.96051191634243,126.04004286235408","160.81555508268482,163.6190874270428","177.01722093871595,161.89076179474708","155.12486320525292,183.06646704766538","159.0052741974708,191.41801434824902","167.5747203307393,176.5448382782101","178.15682757782102,176.51141476167317","171.7101167315175,191.84311162451363","174.52216074902725,192.25387585116732","161.26933365758754,222.14050340466926","167.73221668287937,222.95320099708172",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_flipped\1_42.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_flipped,1
498,"183.45877918287937,104.50953003404669","180.83846060311285,100.43977231274319","181.7892752918288,100.58689506322958","172.65430447470817,101.83805781857977","181.008922057393,103.4087579036965","169.3388405885214,123.26599738570039","177.11867704280155,125.47732247081713","165.24694491731518,149.25452942607004","179.1857368677043,156.26492582684824","152.65476045719845,172.6282982733463","154.35583353599222,173.02532222762648","169.40304292315176,172.14167375972764","175.68912633754863,172.59571072470817","171.08177285992218,192.49861685311285","172.8361502918288,192.90444126945525","166.55988570038912,223.32728903210116","170.5359162208171,223.53316512645915",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_flipped\2_46.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_flipped,2
502,"179.30125243190662,98.9376063959144","178.20234982976655,96.0297984557393","181.0814840710117,95.96434976896887","170.43186101653697,92.46184186527238","178.74844965953307,94.43009788424125","163.9772768725681,112.77383268482491","175.13217412451363,115.73210268725681","152.49980240758754,140.9956985651751","178.94551009241246,142.47934399319067","150.34362840466926,163.40407648346303","187.6275839007782,164.72446498054475","164.4759089250973,169.43322896400778","176.11320525291828,169.3536448200389","163.0881870136187,190.55020367217898","177.19783560311285,186.48302225194553","158.87376884727627,217.80304596303503","173.03979207198444,218.8709113570039",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_flipped\3_50.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_flipped,3
499,"170.31098005836577,82.68398133511673","165.0950723492218,76.61670111867704","168.05800097276264,76.73293105544747","163.50345026750972,75.4108934216926","167.7406067607004,74.06726501702335","159.42109982976655,99.99642813715954","163.84178927529183,101.92163180933852","150.53602261673151,133.3491305933852","158.56344236381324,133.24069795719845","146.88405885214007,168.14989664396887","150.91301374027236,168.2051617217899","156.27181116245137,156.79354632782102","169.7444370136187,156.46253343871595","170.2498176070039,183.62082016050584","174.09437317607004,184.0494133025292","170.85896461575877,219.80248358463035","173.6322045233463,220.13395245622567",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_flipped\4_54.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_flipped,4
501,"70.25167193579766,105.29483067850195","68.58455435311284,100.00177833171206","73.06989451605058,101.24058396157588","70.67465649319067,102.99285627431907","82.18566847033074,102.77511703550584","73.94655885214007,123.0624468020428","88.73092473249028,122.17936831225681","73.99940722276264,149.79392631322958","91.92901872568093,154.03942728599222","66.9406918774319,168.69458292801556","97.81465831712062,174.1287998540856","74.5281645184825,167.20435615272373","88.4283651507782,166.94154304474708","78.14161296206225,190.83821741245137","87.01595178745136,190.45578489785993","96.45644607247083,216.96298942120623","93.38147495136187,215.91669199902725",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_original\0_38.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_original,0
500,"70.69972793044747,107.56510669990273","68.61557636186771,103.51249392023347","74.15145458414398,103.6380410992218","70.57145245622569,105.10437439202335","83.48602413667315,104.82595908317121","73.93439931906615,127.3778498905642","89.05898893482491,125.69611806906615","72.03132599708171,154.8612445282101","93.52674337305447,154.685280885214","67.09064171935798,171.01595938715954","96.47087031857977,170.8184429717899","74.70979754377431,170.69345817120623","89.09535353842412,170.22353781614785","77.58819461332685,195.8305265077821","83.88840588521401,196.84443397373542","80.61613874027238,220.0573321984436","95.55392752918289,222.08738144455253",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_original\1_42.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_original,1
509,"73.78473826605058,103.88570798881324","72.43479450389106,99.0012919503891","76.04268756079766,100.50427103599222","74.59110530155642,100.0302468385214","83.82901416585604,102.11060615272373","77.08326240272373,125.32998692850195","88.87235530155642,122.30227839250973","80.45947835603113,151.28617461089493","93.70300340466926,151.6275839007782","73.4740545963035,171.2024714250973","98.2460405520428,168.2766293774319","78.74415582441634,167.57335238326849","87.16177498784047,167.2025778210117","80.47979237597276,193.42383572470817","93.17195099708171,195.3049762889105","96.45384697227627,219.86118373054475","99.258922057393,219.53126519941634",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_original\2_46.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_original,2
504,"79.34667588764592,96.12085815904669","80.46734405398833,92.9520686405642","78.00568458171206,95.04160840223736","76.42503647859922,94.70113387645914","89.37600316147861,93.91511125972762","81.58093689202335,115.87300887645914","89.25183152966926,116.28199477140078","88.75934004134241,142.78027723735408","96.82978173638132,143.95700085116732","70.62810068093385,159.02413667315176","103.5221455496109,165.11364603599222","81.22061192850195,161.47764165856032","89.06654304474708,164.49898163910507","74.00292588764592,187.71639409046693","93.38316968628405,189.92613083657588","79.98347063472762,216.67078064202335","96.46291342412451,217.56119285019454",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_original\3_50.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_original,3
503,"80.20650687013618,80.87934703307393","80.99791008025292,75.95271461575875","86.39254772616732,77.44981912694553","90.59674428501945,77.69550249270428","98.01275991001945,80.39466804474708","89.07523711089495,106.62905064445525","97.56510669990273,105.3275702213035","96.06247720087549,136.77292071984436","106.96121868920234,139.84917619163426","103.72752006322958,165.7219418774319","106.71843841196498,170.53176678015564","88.66352292071984,157.6204401750973","98.13487962062257,157.08742704280155","94.64517722519456,191.47467777237355","86.87042497568093,191.16342412451363","84.3556283438716,219.34817303015564","83.31092686040856,219.8466074902724",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_0_original\4_54.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_0_original,4
505,"166.80362354085602,60.33174626094358","160.82602748054475,53.08392357733463","160.1905094844358,56.08160566634241","151.27413667315176,56.1471721485895","157.31769820038912,57.58555751459144","147.83555751459144,85.02203155398833","159.5219631566148,89.4655581225681","147.50966682879377,112.1745652966926","154.59438837548637,123.58751063959144","150.4945130107004,156.95569370136187","154.1743829036965,155.51893847276264","146.95046510214007,132.25381505350194","155.23770367217898,137.01463703793775","149.38047178988327,160.07744102626458","150.90587001459144,159.26685615272373","148.61300766050584,178.56000729571986","149.0994801799611,179.07853538424123",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_flipped\0_20.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_flipped,0
508,"170.33239603599222,74.31646704766537","163.25755410992218,71.30942211819067","167.57304839494162,70.07316999027238","162.85832624027236,70.09431237840467","169.64208414396887,71.31980331955253","155.95689445525292,100.29922330982491","144.48873723249028,14.810577273832685","162.40992825875486,66.23088673394942","167.53812013618676,65.28812013618678","159.8342807636187,87.21871200145914","162.9634150048638,86.07190843871595","118.16710998297665,100.97373540856032","143.77936527237355,101.32758542071984","153.47425218871595,165.98364542801556","179.21625729571986,173.79842534046693","149.44117825875486,198.87574477140078","150.80372993677042,200.0984770184825",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_flipped\1_24.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_flipped,1
506,"176.9344905155642,86.04442789396887","171.97299063715954,79.88535080252919","175.94508450875486,80.58117248297665","173.04198078793775,81.95194704523347","172.135609192607,82.81191482247081","163.16337852626458,104.22049033317121","171.08362718871595,106.03546783803502","161.83090649319067,137.76177954766538","176.12735590953307,139.16669199902725","172.49624574416342,163.74173151750972","178.99083475194553,161.76405946011673","162.46317181420233,161.53751215953307","170.87133694066148,160.5177681177043","172.73439019941634,184.11046935797665","176.94303258754863,184.27437986381324","149.66611442120623,216.0135122811284","176.30400352626458,216.97112110894943",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_flipped\2_28.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_flipped,2
507,"183.8747112110895,95.5694157344358","177.40088460603113,90.89027541342412","182.39237293287937,91.04483067850195","170.88750911964982,92.08184885700389","180.55377553501947,91.68208140807393","166.466530885214,115.86318245379377","175.53438107976655,111.9775124635214","166.48898042315176,145.74524258268482","180.389515442607,143.3291281614786","174.7185676070039,163.7288880107004","181.0752219114786,162.20324659533074","166.2151325389105,168.81786539396887","170.81202881809338,164.85131930933852","169.96844601167317,193.9803623540856","176.53205556906616,195.15623480058366","150.91038424124514,223.17787876945525","174.57037329766538,221.51918166342412",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_flipped\3_32.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_flipped,3
511,"181.435812864786,99.92658681906615","179.50431663424123,96.90156098005836","183.8999726410506,98.658203125","177.91612962062257,98.93898194309338","182.77538302529183,99.80926252431907","167.2914640077821,118.11336484678988","178.22976957684824,116.21520093628405","162.2467473249027,145.7287512159533","184.0681237840467,144.84397799124514","172.08496473735408,162.92804596303503","183.54886612354085,161.57555629863813","168.79944370136187,162.49890564202335","175.60973978599222,162.81917254377433","171.66077942607004,185.49571376459144","176.8968263618677,185.93307696984436","168.91535445038912,215.7582076848249","176.68322896400778,215.94938594357976",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_flipped\4_36.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_flipped,4
539,"90.35416160019456,58.26377447106031","96.06652024562257,54.77445966074903","95.92105423151752,52.63623616853113","98.37907344357977,58.549504499027236","106.21232064688716,54.26906006809339","99.44637645914398,89.96419777480546","105.5830876094358,87.38967503647861","102.95390776994164,129.59133329280155","107.11757508511673,132.9947714007782","101.05185280885215,167.66682879377433","101.41826513861868,166.1771035992218","97.09802863570039,151.12310007295721","104.72219266780156,151.84102930447472","106.420765442607,167.46552772373542","106.57841378891051,168.18661843385215","109.33205404912451,207.40283013132296","109.3192561405642,198.10840223735408",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_original\0_20.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_original,0
536,"85.52437986381324,72.96124908803502","85.22815083900778,70.26655216439688","90.44576848249028,68.98583414396887","82.96828641780155,69.82872537694553","90.02646218385215,72.1342108463035","89.14741153939688,98.2909092290856","109.15903149319067,17.663175234071012","92.74528818093385,131.22504255836577","87.6959204766537,65.6789731274319","93.76635457198444,160.84849221789884","102.39438685554475,160.69523650291828","92.11430721060312,151.80015807392996","97.34353720817121,152.13366366731518","95.71799002918289,175.0161265807393","98.98915521643968,174.88422604571986","103.69793439931907,201.25889165856032","106.81107125486382,203.9984192607004",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_original\1_24.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_original,1
535,"73.00098036235408,85.15249574416343","123.03235195768482,74.31916494406615","77.55307636186771,81.23834204766537","112.34109010214009,76.69164944066148","86.9070175705253,82.33690266293775","80.09943458171206,109.71026112597276","94.65037542558366,105.88556359435798","80.1335496716926,138.64509362840468","92.82994133025292,141.1553532344358","70.72864482003891,158.27099039396887","78.90470725924125,159.58896218385215","84.60054413910505,159.13779790856032","93.27911448200389,160.88193093385215","94.9081499270428,191.6388314688716","78.75696133268482,190.75872446498056","109.27282192363813,218.06459751945525","74.97465497324903,219.41790795233464",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_original\2_28.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_original,2
538,"73.31089646157588,95.74410262645914","71.93786478599222,90.09677468385215","76.55898133511673,91.98208748784047","72.05601744892996,92.80170081468872","85.83193245379377,91.96172026994164","77.19202182636187,115.51590618920234","90.41326453064202,115.1215421327821","71.48936800826849,142.82687864785993","90.9281827577821,147.23698929961088","72.49145792801556,164.0383025291829","79.50768330496109,168.34814263132296","80.37902784533074,165.65185736867704","87.54394911235408,166.7615059581712","76.12921023832685,193.3445099708171","84.1633785262646,193.4015837791829","75.81289518482491,219.1923334143969","75.88233371838521,219.42379012645915",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_original\3_32.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_original,3
537,"71.12971181906615,101.76805690661479","70.25330587305447,95.85919260700389","73.2963202213035,97.52704736138132","73.61331164883269,99.19820798881324","81.39172695768482,98.9194734922179","77.14429565904669,121.73942120622569","84.62743950632296,120.17158621108949","73.71157587548639,146.3278362110895","92.1551176434825,146.55116123540856","73.46037512159533,165.11290126459144","95.55064445525292,170.92243737840468","78.67213339007782,165.53736016536965","85.56215801313229,167.04886612354085","78.60580313715954,189.6225984922179","84.19393695282102,189.59531553988327","78.61400322227627,218.11136612354085","80.63258450875486,218.0728964007782",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_1_original\4_36.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_1_original,4
515,"135.1268239299611,35.7155315235895","131.30894333657588,30.6425914244893","133.82920415856032,31.248823945160506","123.70498692850195,32.13131915734436","137.10904061284046,33.306766020184824","121.79282435554475,61.431595026750976","126.15525443822958,59.843658803501945","112.15341530885215,91.52196315661479","122.87123054474708,92.53552103599222","107.09782344357977,110.19240941147861","107.75228751215954,108.34627310311284","122.65086940661479,112.33341439688716","130.33598309824902,113.06183122568093","124.27402267752919,160.0152298151751","127.51074598735408,159.84444917315176","129.0912116974708,162.56066087062257","133.30327395428014,162.0576969844358",ForwardLunge,..\Python\dataset\ForwardLunge\3 Types of Lunges Jim Stoppani.mp4_2_flipped\0_69.jpg,datasetForwardLunge3 Types of Lunges Jim Stoppani.mp4_2_flipped,0
